"Var1","Freq"
"2014-01-01",216
"2014-01-02",119
"2014-01-03",124
"2014-01-04",140
"2014-01-05",130
"2014-01-06",100
"2014-01-07",115
"2014-01-08",149
"2014-01-09",134
"2014-01-10",129
"2014-01-11",143
"2014-01-12",147
"2014-01-13",162
"2014-01-14",158
"2014-01-15",181
"2014-01-16",158
"2014-01-17",152
"2014-01-18",147
"2014-01-19",139
"2014-01-20",172
"2014-01-21",125
"2014-01-22",134
"2014-01-23",117
"2014-01-24",115
"2014-01-25",162
"2014-01-26",152
"2014-01-27",151
"2014-01-28",124
"2014-01-29",120
"2014-01-30",132
"2014-01-31",148
"2014-02-01",149
"2014-02-02",138
"2014-02-03",143
"2014-02-04",113
"2014-02-05",104
"2014-02-06",141
"2014-02-07",98
"2014-02-08",99
"2014-02-09",111
"2014-02-10",115
"2014-02-11",82
"2014-02-12",117
"2014-02-13",103
"2014-02-14",101
"2014-02-15",85
"2014-02-16",112
"2014-02-17",90
"2014-02-18",101
"2014-02-19",118
"2014-02-20",99
"2014-02-21",110
"2014-02-22",105
"2014-02-23",126
"2014-02-24",123
"2014-02-25",104
"2014-02-26",80
"2014-02-27",101
"2014-02-28",77
"2014-03-01",128
"2014-03-02",87
"2014-03-03",85
"2014-03-04",92
"2014-03-05",110
"2014-03-06",96
"2014-03-07",118
"2014-03-08",122
"2014-03-09",117
"2014-03-10",112
"2014-03-11",123
"2014-03-12",102
"2014-03-13",97
"2014-03-14",119
"2014-03-15",127
"2014-03-16",132
"2014-03-17",132
"2014-03-18",114
"2014-03-19",122
"2014-03-20",131
"2014-03-21",134
"2014-03-22",114
"2014-03-23",144
"2014-03-24",112
"2014-03-25",151
"2014-03-26",108
"2014-03-27",135
"2014-03-28",116
"2014-03-29",120
"2014-03-30",127
"2014-03-31",140
"2014-04-01",115
"2014-04-02",118
"2014-04-03",136
"2014-04-04",137
"2014-04-05",132
"2014-04-06",151
"2014-04-07",115
"2014-04-08",132
"2014-04-09",136
"2014-04-10",113
"2014-04-11",127
"2014-04-12",141
"2014-04-13",135
"2014-04-14",137
"2014-04-15",113
"2014-04-16",122
"2014-04-17",138
"2014-04-18",145
"2014-04-19",111
"2014-04-20",137
"2014-04-21",135
"2014-04-22",115
"2014-04-23",130
"2014-04-24",123
"2014-04-25",155
"2014-04-26",152
"2014-04-27",131
"2014-04-28",110
"2014-04-29",124
"2014-04-30",125
"2014-05-01",110
"2014-05-02",132
"2014-05-03",138
"2014-05-04",134
"2014-05-05",112
"2014-05-06",131
"2014-05-07",120
"2014-05-08",129
"2014-05-09",125
"2014-05-10",136
"2014-05-11",131
"2014-05-12",130
"2014-05-13",130
"2014-05-14",136
"2014-05-15",145
"2014-05-16",135
"2014-05-17",168
"2014-05-18",140
"2014-05-19",154
"2014-05-20",154
"2014-05-21",134
"2014-05-22",130
"2014-05-23",134
"2014-05-24",149
"2014-05-25",147
"2014-05-26",171
"2014-05-27",167
"2014-05-28",129
"2014-05-29",156
"2014-05-30",154
"2014-05-31",159
"2014-06-01",147
"2014-06-02",145
"2014-06-03",151
"2014-06-04",186
"2014-06-05",151
"2014-06-06",142
"2014-06-07",138
"2014-06-08",149
"2014-06-09",142
"2014-06-10",120
"2014-06-11",154
"2014-06-12",141
"2014-06-13",118
"2014-06-14",142
"2014-06-15",147
"2014-06-16",151
"2014-06-17",133
"2014-06-18",135
"2014-06-19",142
"2014-06-20",150
"2014-06-21",159
"2014-06-22",162
"2014-06-23",154
"2014-06-24",147
"2014-06-25",145
"2014-06-26",154
"2014-06-27",165
"2014-06-28",162
"2014-06-29",157
"2014-06-30",151
"2014-07-01",132
"2014-07-02",134
"2014-07-03",137
"2014-07-04",192
"2014-07-05",212
"2014-07-06",165
"2014-07-07",173
"2014-07-08",173
"2014-07-09",152
"2014-07-10",152
"2014-07-11",141
"2014-07-12",168
"2014-07-13",200
"2014-07-14",177
"2014-07-15",177
"2014-07-16",146
"2014-07-17",159
"2014-07-18",166
"2014-07-19",170
"2014-07-20",199
"2014-07-21",151
"2014-07-22",182
"2014-07-23",172
"2014-07-24",175
"2014-07-25",168
"2014-07-26",171
"2014-07-27",155
"2014-07-28",165
"2014-07-29",193
"2014-07-30",189
"2014-07-31",173
"2014-08-01",200
"2014-08-02",189
"2014-08-03",175
"2014-08-04",163
"2014-08-05",153
"2014-08-06",169
"2014-08-07",142
"2014-08-08",172
"2014-08-09",154
"2014-08-10",186
"2014-08-11",175
"2014-08-12",164
"2014-08-13",175
"2014-08-14",156
"2014-08-15",176
"2014-08-16",167
"2014-08-17",199
"2014-08-18",182
"2014-08-19",177
"2014-08-20",178
"2014-08-21",171
"2014-08-22",170
"2014-08-23",188
"2014-08-24",189
"2014-08-25",160
"2014-08-26",141
"2014-08-27",150
"2014-08-28",142
"2014-08-29",170
"2014-08-30",145
"2014-08-31",181
"2014-09-01",185
"2014-09-02",162
"2014-09-03",155
"2014-09-04",155
"2014-09-05",185
"2014-09-06",220
"2014-09-07",149
"2014-09-08",166
"2014-09-09",148
"2014-09-10",185
"2014-09-11",203
"2014-09-12",167
"2014-09-13",180
"2014-09-14",183
"2014-09-15",161
"2014-09-16",161
"2014-09-17",155
"2014-09-18",154
"2014-09-19",163
"2014-09-20",179
"2014-09-21",183
"2014-09-22",140
"2014-09-23",126
"2014-09-24",173
"2014-09-25",163
"2014-09-26",175
"2014-09-27",174
"2014-09-28",185
"2014-09-29",152
"2014-09-30",161
"2014-10-01",167
"2014-10-02",171
"2014-10-03",167
"2014-10-04",140
"2014-10-05",170
"2014-10-06",133
"2014-10-07",152
"2014-10-08",168
"2014-10-09",144
"2014-10-10",144
"2014-10-11",168
"2014-10-12",140
"2014-10-13",175
"2014-10-14",178
"2014-10-15",144
"2014-10-16",163
"2014-10-17",175
"2014-10-18",163
"2014-10-19",159
"2014-10-20",176
"2014-10-21",157
"2014-10-22",174
"2014-10-23",145
"2014-10-24",152
"2014-10-25",210
"2014-10-26",169
"2014-10-27",163
"2014-10-28",130
"2014-10-29",151
"2014-10-30",133
"2014-10-31",133
"2014-11-01",144
"2014-11-02",119
"2014-11-03",120
"2014-11-04",132
"2014-11-05",141
"2014-11-06",119
"2014-11-07",139
"2014-11-08",175
"2014-11-09",167
"2014-11-10",138
"2014-11-11",152
"2014-11-12",138
"2014-11-13",113
"2014-11-14",108
"2014-11-15",152
"2014-11-16",142
"2014-11-17",118
"2014-11-18",117
"2014-11-19",111
"2014-11-20",107
"2014-11-21",104
"2014-11-22",130
"2014-11-23",145
"2014-11-24",102
"2014-11-25",113
"2014-11-26",102
"2014-11-27",96
"2014-11-28",100
"2014-11-29",126
"2014-11-30",125
"2014-12-01",111
"2014-12-02",101
"2014-12-03",110
"2014-12-04",108
"2014-12-05",125
"2014-12-06",121
"2014-12-07",134
"2014-12-08",116
"2014-12-09",109
"2014-12-10",115
"2014-12-11",115
"2014-12-12",142
"2014-12-13",136
"2014-12-14",125
"2014-12-15",132
"2014-12-16",122
"2014-12-17",134
"2014-12-18",107
"2014-12-19",128
"2014-12-20",124
"2014-12-21",142
"2014-12-22",129
"2014-12-23",131
"2014-12-24",111
"2014-12-25",87
"2014-12-26",144
"2014-12-27",175
"2014-12-28",172
"2014-12-29",111
"2014-12-30",109
"2014-12-31",128
"2015-01-01",214
"2015-01-02",121
"2015-01-03",120
"2015-01-04",123
"2015-01-05",108
"2015-01-06",118
"2015-01-07",104
"2015-01-08",118
"2015-01-09",127
"2015-01-10",92
"2015-01-11",127
"2015-01-12",96
"2015-01-13",112
"2015-01-14",128
"2015-01-15",149
"2015-01-16",126
"2015-01-17",143
"2015-01-18",131
"2015-01-19",119
"2015-01-20",157
"2015-01-21",133
"2015-01-22",139
"2015-01-23",105
"2015-01-24",126
"2015-01-25",129
"2015-01-26",133
"2015-01-27",120
"2015-01-28",121
"2015-01-29",130
"2015-01-30",133
"2015-01-31",105
"2015-02-01",113
"2015-02-02",98
"2015-02-03",94
"2015-02-04",111
"2015-02-05",115
"2015-02-06",112
"2015-02-07",133
"2015-02-08",148
"2015-02-09",105
"2015-02-10",125
"2015-02-11",114
"2015-02-12",95
"2015-02-13",99
"2015-02-14",104
"2015-02-15",128
"2015-02-16",101
"2015-02-17",101
"2015-02-18",102
"2015-02-19",108
"2015-02-20",91
"2015-02-21",111
"2015-02-22",106
"2015-02-23",129
"2015-02-24",99
"2015-02-25",113
"2015-02-26",109
"2015-02-27",122
"2015-02-28",122
"2015-03-01",121
"2015-03-02",123
"2015-03-03",133
"2015-03-04",115
"2015-03-05",102
"2015-03-06",113
"2015-03-07",153
"2015-03-08",135
"2015-03-09",124
"2015-03-10",131
"2015-03-11",150
"2015-03-12",132
"2015-03-13",142
"2015-03-14",145
"2015-03-15",151
"2015-03-16",148
"2015-03-17",149
"2015-03-18",161
"2015-03-19",139
"2015-03-20",146
"2015-03-21",152
"2015-03-22",137
"2015-03-23",116
"2015-03-24",167
"2015-03-25",137
"2015-03-26",148
"2015-03-27",138
"2015-03-28",157
"2015-03-29",144
"2015-03-30",141
"2015-03-31",164
"2015-04-01",155
"2015-04-02",153
"2015-04-03",155
"2015-04-04",166
"2015-04-05",150
"2015-04-06",157
"2015-04-07",158
"2015-04-08",160
"2015-04-09",148
"2015-04-10",140
"2015-04-11",143
"2015-04-12",181
"2015-04-13",158
"2015-04-14",126
"2015-04-15",151
"2015-04-16",139
"2015-04-17",183
"2015-04-18",193
"2015-04-19",160
"2015-04-20",148
"2015-04-22",150
"2015-04-23",133
"2015-04-24",137
"2015-04-25",139
"2015-04-26",157
"2015-04-27",167
"2015-04-28",135
"2015-04-29",190
"2015-04-30",139
"2015-05-01",159
"2015-05-02",141
"2015-05-03",154
"2015-05-04",149
"2015-05-05",144
"2015-05-06",162
"2015-05-07",160
"2015-05-08",133
"2015-05-09",174
"2015-05-10",183
"2015-05-11",164
"2015-05-12",154
"2015-05-13",173
"2015-05-14",132
"2015-05-15",157
"2015-05-16",155
"2015-05-17",205
"2015-05-18",163
"2015-05-19",160
"2015-05-20",166
"2015-05-21",157
"2015-05-22",137
"2015-05-23",165
"2015-05-24",168
"2015-05-25",201
"2015-05-26",201
"2015-05-27",155
"2015-05-28",144
"2015-05-29",149
"2015-05-30",178
"2015-05-31",172
"2015-06-01",177
"2015-06-02",149
"2015-06-03",155
"2015-06-04",128
"2015-06-05",124
"2015-06-06",188
"2015-06-07",180
"2015-06-08",152
"2015-06-09",175
"2015-06-10",175
"2015-06-11",138
"2015-06-12",147
"2015-06-13",175
"2015-06-14",174
"2015-06-15",133
"2015-06-16",145
"2015-06-17",137
"2015-06-18",143
"2015-06-19",143
"2015-06-20",138
"2015-06-21",163
"2015-06-22",149
"2015-06-23",154
"2015-06-24",141
"2015-06-25",134
"2015-06-26",142
"2015-06-27",149
"2015-06-28",169
"2015-06-29",151
"2015-06-30",168
"2015-07-01",151
"2015-07-02",159
"2015-07-03",125
"2015-07-04",211
"2015-07-05",209
"2015-07-06",152
"2015-07-07",143
"2015-07-08",141
"2015-07-09",169
"2015-07-10",146
"2015-07-11",143
"2015-07-12",188
"2015-07-13",153
"2015-07-14",153
"2015-07-15",182
"2015-07-16",167
"2015-07-17",178
"2015-07-18",153
"2015-07-19",193
"2015-07-20",181
"2015-07-21",144
"2015-07-22",177
"2015-07-23",145
"2015-07-24",176
"2015-07-25",173
"2015-07-26",181
"2015-07-27",154
"2015-07-28",129
"2015-07-29",150
"2015-07-30",193
"2015-07-31",157
"2015-08-01",197
"2015-08-02",195
"2015-08-03",160
"2015-08-04",176
"2015-08-05",172
"2015-08-06",137
"2015-08-07",156
"2015-08-08",194
"2015-08-09",181
"2015-08-10",143
"2015-08-11",158
"2015-08-12",158
"2015-08-13",176
"2015-08-14",145
"2015-08-15",144
"2015-08-16",179
"2015-08-17",150
"2015-08-18",148
"2015-08-19",156
"2015-08-20",142
"2015-08-21",164
"2015-08-22",168
"2015-08-23",174
"2015-08-24",171
"2015-08-25",165
"2015-08-26",131
"2015-08-27",131
"2015-08-28",139
"2015-08-29",188
"2015-08-30",182
"2015-08-31",144
"2015-09-01",168
"2015-09-02",176
"2015-09-03",144
"2015-09-04",152
"2015-09-05",189
"2015-09-06",194
"2015-09-07",167
"2015-09-08",168
"2015-09-09",168
"2015-09-10",136
"2015-09-11",148
"2015-09-12",164
"2015-09-13",189
"2015-09-14",142
"2015-09-15",139
"2015-09-16",150
"2015-09-17",149
"2015-09-18",173
"2015-09-19",171
"2015-09-20",196
"2015-09-21",130
"2015-09-22",163
"2015-09-23",171
"2015-09-24",164
"2015-09-25",147
"2015-09-26",164
"2015-09-27",197
"2015-09-28",151
